file,bytes,overall,productive
AbstractUnicodeExtraField.java,5668,15788889,1770377
AbstractUnicodeExtraField.java,5668,22477836,2644228
AbstractUnicodeExtraField.java,5668,16163567,2239102
AbstractUnicodeExtraField.java,5668,15772899,2581520
AbstractUnicodeExtraField.java,5668,16838212,2378014
AbstractUnicodeExtraField.java,5668,16445548,2513012
AbstractUnicodeExtraField.java,5668,14834981,1357920
AggregateTransformer.java,11471,28381150,4422376
AggregateTransformer.java,11471,25164806,3225008
AggregateTransformer.java,11471,54484510,3894269
AggregateTransformer.java,11471,26094556,2421144
AggregateTransformer.java,11471,28491645,3209465
AggregateTransformer.java,11471,25533816,2718955
AggregateTransformer.java,11471,24316626,2595085
AggregateTransformer.java,11471,27513783,3402993
AggregateTransformer.java,11471,26508876,6069869
AggregateTransformer.java,11471,24558335,3822731
Algorithm.java,1557,4711672,726212
Algorithm.java,1557,4575380,529304
Algorithm.java,1557,5267356,651207
Algorithm.java,1557,4532624,508116
Algorithm.java,1557,5415578,541018
Algorithm.java,1557,4578272,645755
Algorithm.java,1557,4163788,537130
Algorithm.java,1557,2796403,319335
Algorithm.java,1557,5229791,630959
Algorithm.java,1557,3294056,455224
AllButFirst.java,2038,8079980,1248264
AllButFirst.java,2038,6503357,774412
AllButFirst.java,2038,8702485,2204259
AllButFirst.java,2038,5736088,512094
AllButFirst.java,2038,5318234,514238
AllButFirst.java,2038,33076150,780987
AllButFirst.java,2038,6453897,676915
AllButFirst.java,2038,8219298,523377
AllButFirst.java,2038,7280334,683562
AllButFirst.java,2038,8910446,1626089
AllButLast.java,1935,7090660,737827
AllButLast.java,1935,7748951,1204126
AllButLast.java,1935,6499679,729934
AllButLast.java,1935,6726376,625857
AllButLast.java,1935,6614678,620442
AllButLast.java,1935,7550660,749619
AllButLast.java,1935,6166224,732577
AllButLast.java,1935,6111872,826432
AllButLast.java,1935,5491759,424489
AllButLast.java,1935,5984676,627073
AncestorAnalyzer.java,5381,15551579,2151290
AncestorAnalyzer.java,5381,15160598,1631650
AncestorAnalyzer.java,5381,21166598,2954096
AncestorAnalyzer.java,5381,15832952,1441968
AncestorAnalyzer.java,5381,17903137,2317380
AncestorAnalyzer.java,5381,18299037,1944540
AncestorAnalyzer.java,5381,18684768,2048843
AncestorAnalyzer.java,5381,19752267,1879935
AncestorAnalyzer.java,5381,17398314,1812037
AncestorAnalyzer.java,5381,16639355,1231390
And.java,1710,6706757,993249
And.java,1710,6566015,820822
And.java,1710,6393553,922460
