file,bytes,overall,productive
AbstractUnicodeExtraField.java,5668,15010278,2111977
AbstractUnicodeExtraField.java,5668,15161325,1492058
AbstractUnicodeExtraField.java,5668,12689044,1661704
AbstractUnicodeExtraField.java,5668,9234753,882520
AbstractUnicodeExtraField.java,5668,19154988,1810619
AbstractUnicodeExtraField.java,5668,14713480,1643168
AbstractUnicodeExtraField.java,5668,37101780,1163832
AggregateTransformer.java,11471,27427980,4523583
AggregateTransformer.java,11471,22394164,1603048
AggregateTransformer.java,11471,32740023,3160232
AggregateTransformer.java,11471,27242895,2984583
AggregateTransformer.java,11471,23099823,1457445
AggregateTransformer.java,11471,23852925,3607040
AggregateTransformer.java,11471,21874730,3294811
AggregateTransformer.java,11471,31334705,2580513
AggregateTransformer.java,11471,23419482,3271615
AggregateTransformer.java,11471,21512325,2262522
Algorithm.java,1557,2987320,393064
Algorithm.java,1557,3301970,512774
Algorithm.java,1557,3183913,520954
Algorithm.java,1557,3824527,376598
Algorithm.java,1557,3060768,383868
Algorithm.java,1557,4015650,656438
Algorithm.java,1557,3299062,503752
Algorithm.java,1557,3032948,423770
Algorithm.java,1557,4517412,528124
Algorithm.java,1557,3379435,317666
AllButFirst.java,2038,7004672,1536509
AllButFirst.java,2038,6980686,1215478
AllButFirst.java,2038,7010341,888911
AllButFirst.java,2038,6562260,684941
AllButFirst.java,2038,6676271,895523
AllButFirst.java,2038,6508589,826700
AllButFirst.java,2038,6870938,842409
AllButFirst.java,2038,5443167,588721
AllButFirst.java,2038,3196142,526661
AllButFirst.java,2038,5596576,820312
AllButLast.java,1935,5721335,1228090
AllButLast.java,1935,4475038,543681
AllButLast.java,1935,7456909,545716
AllButLast.java,1935,7998644,857351
AllButLast.java,1935,5007196,607592
AllButLast.java,1935,5244657,605894
AllButLast.java,1935,5989602,628861
AllButLast.java,1935,6272569,515628
AllButLast.java,1935,4413547,676688
AllButLast.java,1935,6057642,625847
AncestorAnalyzer.java,5381,14293518,2406273
AncestorAnalyzer.java,5381,17624177,2460292
AncestorAnalyzer.java,5381,16883593,2746648
AncestorAnalyzer.java,5381,12040513,2025887
AncestorAnalyzer.java,5381,15045247,1571659
AncestorAnalyzer.java,5381,43547495,2260576
AncestorAnalyzer.java,5381,16022417,1789887
AncestorAnalyzer.java,5381,15249033,1962142
AncestorAnalyzer.java,5381,16007267,2167194
AncestorAnalyzer.java,5381,16602088,1819863
And.java,1710,6336754,976574
And.java,1710,4315828,700518
And.java,1710,5866100,832684
And.java,1710,4868642,760094
And.java,1710,5799160,764444
And.java,1710,5370575,647410
And.java,1710,6173163,745044
And.java,1710,6555960,800114
And.java,1710,5915536,767309
And.java,1710,6428513,747956
AndSelector.java,2311,6868564,903945
AndSelector.java,2311,6776389,894368
AndSelector.java,2311,6727187,892777
AndSelector.java,2311,6467307,919832
AndSelector.java,2311,6884701,809331
AndSelector.java,2311,6804507,932512
AndSelector.java,2311,6669108,791941
AndSelector.java,2311,6512869,815100
AndSelector.java,2311,5787498,1079379
AndSelector.java,2311,5231862,867426
AnsiColorLogger.java,8409,18706940,3085766
AnsiColorLogger.java,8409,17596397,2874240
AnsiColorLogger.java,8409,18410696,1935254
AnsiColorLogger.java,8409,18131805,2171324
AnsiColorLogger.java,8409,16588033,1893357
AnsiColorLogger.java,8409,16959891,2770481
AnsiColorLogger.java,8409,19506760,3101209
AnsiColorLogger.java,8409,17485047,3043068
AnsiColorLogger.java,8409,21548665,1208262
AnsiColorLogger.java,8409,19379320,2835865
Ant.java,28319,49771416,6634965
Ant.java,28319,53963792,5394354
Ant.java,28319,47730264,4749390
Ant.java,28319,72744419,4798327
Ant.java,28319,53114508,4785709
Ant.java,28319,46905156,3846894
Ant.java,28319,50682910,4005882
Ant.java,28319,76985830,3234534
Ant.java,28319,43508947,3235183
Ant.java,28319,51213310,3509744
AntAnalyzer.java,5402,13608485,1544515
