file,bytes,overall,productive
AncestorAnalyzer.java,5381,13487907,327145
AncestorAnalyzer.java,5381,12118945,256124
AncestorAnalyzer.java,5381,17862176,403498
AncestorAnalyzer.java,5381,18282942,388144
AncestorAnalyzer.java,5381,15285186,194067
AncestorAnalyzer.java,5381,15495198,284223
AncestorAnalyzer.java,5381,44039940,284662
And.java,1710,5731669,210526
And.java,1710,6739916,189412
And.java,1710,4907447,183490
And.java,1710,5328620,165222
And.java,1710,5516793,148303
And.java,1710,5745528,174724
And.java,1710,5604572,160912
And.java,1710,5207143,149524
And.java,1710,5572184,157315
And.java,1710,5549154,136930
AndSelector.java,2311,6598526,238246
AndSelector.java,2311,6351557,185774
AndSelector.java,2311,6372662,170574
AndSelector.java,2311,7875830,205962
AndSelector.java,2311,6248599,144080
AndSelector.java,2311,5973773,146754
AndSelector.java,2311,6526557,188906
AndSelector.java,2311,6240869,175332
AndSelector.java,2311,5341480,150282
AndSelector.java,2311,6253529,184500
AnsiColorLogger.java,8409,20875824,1481184
AnsiColorLogger.java,8409,14412926,252907
AnsiColorLogger.java,8409,24251199,395706
AnsiColorLogger.java,8409,22271033,315776
AnsiColorLogger.java,8409,21117690,809045
AnsiColorLogger.java,8409,16264388,611996
AnsiColorLogger.java,8409,16397841,666768
AnsiColorLogger.java,8409,24087839,581468
AnsiColorLogger.java,8409,15574464,567504
AnsiColorLogger.java,8409,15854890,443706
Ant.java,28319,117347820,992925
Ant.java,28319,95075300,503135
Ant.java,28319,51267813,764712
Ant.java,28319,50034318,811359
Ant.java,28319,71076903,997155
Ant.java,28319,43390807,944651
Ant.java,28319,67231502,868622
Ant.java,28319,44161826,544068
Ant.java,28319,109353554,1739406
Ant.java,28319,43739568,853021
AntAnalyzer.java,5402,11472863,351582
AntAnalyzer.java,5402,11249150,253574
AntAnalyzer.java,5402,12303786,247614
AntAnalyzer.java,5402,13156619,245946
AntAnalyzer.java,5402,23993950,241976
AntAnalyzer.java,5402,27046247,219929
AntAnalyzer.java,5402,18689118,248880
AntAnalyzer.java,5402,13131730,293120
AntAnalyzer.java,5402,12027964,270490
AntAnalyzer.java,5402,16738788,244678
AntClassLoader.java,61173,139379157,1390355
AntClassLoader.java,61173,73975537,997338
AntClassLoader.java,61173,116111455,883179
AntClassLoader.java,61173,145879281,1683968
AntClassLoader.java,61173,116716096,1547977
AntClassLoader.java,61173,109845265,1416473
AntClassLoader.java,61173,182972369,1192682
AntClassLoader.java,61173,157398478,1014262
AntClassLoader.java,61173,178008002,1520350
AntClassLoader.java,61173,121796921,1507784
AntClassLoader2.java,1114,3012688,89360
AntClassLoader2.java,1114,3168412,91554
AntClassLoader2.java,1114,3162092,96587
AntClassLoader2.java,1114,2679972,90867
AntClassLoader2.java,1114,3192902,175625
AntClassLoader2.java,1114,3188041,97917
AntClassLoader2.java,1114,2587241,80195
AntClassLoader2.java,1114,3154685,109290
AntClassLoader2.java,1114,2776635,88499
AntClassLoader2.java,1114,2894405,92826
AntClassLoader5.java,2573,5400612,141953
AntClassLoader5.java,2573,5325705,138584
AntClassLoader5.java,2573,6847135,206212
AntClassLoader5.java,2573,5832262,141010
AntClassLoader5.java,2573,5235152,150271
AntClassLoader5.java,2573,5182252,164880
AntClassLoader5.java,2573,4857240,122493
AntClassLoader5.java,2573,5646165,151190
AntClassLoader5.java,2573,5471342,124150
AntClassLoader5.java,2573,5177634,133158
AntFilterReader.java,5143,15563422,259505
AntFilterReader.java,5143,11803603,191600
AntFilterReader.java,5143,10688903,235652
AntFilterReader.java,5143,10772941,326028
AntFilterReader.java,5143,13099394,331840
AntFilterReader.java,5143,14139130,359747
AntFilterReader.java,5143,13534847,377027
AntFilterReader.java,5143,10558310,260012
AntFilterReader.java,5143,12394013,211078
AntFilterReader.java,5143,13079285,425723
Antlib.java,6108,13368839,380173
Antlib.java,6108,13240706,274438
Antlib.java,6108,13769946,347791
Antlib.java,6108,12718250,309074
Antlib.java,6108,12927616,295735
Antlib.java,6108,12772700,255430
Antlib.java,6108,64562588,388880
Antlib.java,6108,13030787,490015
Antlib.java,6108,17491080,404687
Antlib.java,6108,12565773,163140
AntlibDefinition.java,2557,5620729,135877
AntlibDefinition.java,2557,5402303,132526
AntlibDefinition.java,2557,5367284,140585
AntlibDefinition.java,2557,4969766,113223
AntlibDefinition.java,2557,5459639,111077
AntlibDefinition.java,2557,5720082,122145
AntlibDefinition.java,2557,4719045,115156
AntlibDefinition.java,2557,5249943,118705
AntlibDefinition.java,2557,5608224,120017
AntlibDefinition.java,2557,5604899,153852
ANTLR.java,14706,24098626,556967
ANTLR.java,14706,31599826,501323
ANTLR.java,14706,25588460,485755
ANTLR.java,14706,24849613,499050
ANTLR.java,14706,23956645,512410
ANTLR.java,14706,24237882,481465
